 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 7810.62 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 2   SUL         0 7810.62 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 3   NORDESTE    0 7810.62 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 4   NORTE       0 7810.62 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
2025     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2026     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2027     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2028     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
  
2024                                                                                     2211.   2226.
2025     8000.   8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
2026     8000.   8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
2027     8000.   8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
2028     8000.   8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
 999
 MERCADO DE ENERGIA TOTAL
 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2024                                                                                    43354.  41866.
2025    45631.  46774.  45282.  44053.  42231.  41123.  40702.  41218.  42991.  43630.  43370.  43306.
2026    46929.  46859.  47700.  45311.  43434.  42296.  41865.  42405.  44220.  44875.  44605.  44543.
2027    48346.  48279.  49141.  46684.  44748.  43576.  43134.  43699.  45562.  46234.  45953.  45892.
2028    49784.  49721.  50604.  48078.  46082.  44875.  44423.  45013.  46924.  47614.  47322.  47262.
POS     49784.  49721.  50604.  48078.  46082.  44875.  44423.  45013.  46924.  47614.  47322.  47262.
   2
2024                                                                                    12462.  12851.
2025    14082.  14421.  13367.  12827.  12352.  12479.  12457.  12367.  12284.  12529.  13041.  13380.
2026    14572.  14601.  14123.  13272.  12777.  12906.  12884.  12796.  12709.  12965.  13497.  13848.
2027    15095.  15126.  14631.  13749.  13232.  13362.  13341.  13256.  13165.  13432.  13986.  14348.
