NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 236 IPTER     0.00  1 2025  4 2025  
 236 IPTER   100.00  5 2025  6 2025  
 236 IPTER    93.55  7 2025  7 2025  
 236 IPTER     0.00  8 2025 12 2025  
 236 GTMIN   420.84 11 2025  4 2026  
 236 GTMIN   420.84 11 2026  4 2027  
 236 GTMIN   420.84 11 2027  4 2028  
 236 GTMIN   420.84 11 2028          
 110 POTEF   386.38 11 2024          N.PIRATINING
 110 FCMAX    99.90 11 2024 11 2024  
 110 TEIFT     0.00 11 2024 11 2024  
 110 FCMAX    97.00 12 2024  8 2025  
 110 IPTER     0.00  1 2025  6 2025  
 110 IPTER    23.40  7 2025  7 2025  
 110 IPTER    15.96  8 2025  8 2025  
 110 FCMAX    42.03  9 2025  9 2025  
 110 IPTER     0.00  9 2025  9 2025  
 110 FCMAX     0.00 10 2025          
 171 POTEF   400.00 11 2024          NORTEFLU-1
 171 FCMAX   100.00 11 2024 11 2024  
 171 TEIFT     0.00 11 2024 11 2024  
 171 GTMIN   386.67 11 2024 11 2024  
 171 FCMAX    22.58 12 2024 12 2024  
 171 GTMIN    90.31 12 2024 12 2024  
 171 FCMAX     0.00  1 2025          
 172 POTEF   100.00 11 2024          NORTEFLU-2
 172 FCMAX   100.00 11 2024 11 2024  
 172 TEIFT     0.00 11 2024 11 2024  
 172 FCMAX    22.58 12 2024 12 2024  
 172 FCMAX     0.00  1 2025          
 173 POTEF   200.00 11 2024          NORTEFLU-3
 173 FCMAX   100.00 11 2024 11 2024  
 173 TEIFT     0.00 11 2024 11 2024  
 173 FCMAX    22.58 12 2024 12 2024  
 173 FCMAX     0.00  1 2025          
 174 POTEF   126.78 11 2024          NORTEFLU-4
 174 FCMAX    99.38 11 2024 11 2024  
 174 TEIFT     0.00 11 2024 11 2024  
 174 FCMAX    22.57 12 2024 12 2024  
 174 FCMAX     0.00  1 2025          
 229 POTEF    50.00 11 2024          ONCA PINTADA
 229 FCMAX   100.00 11 2024 11 2024  
 229 TEIFT     0.00 11 2024 11 2024  
 229 GTMIN    30.00 11 2024 11 2024  
 229 FCMAX    95.00 12 2024          
 229 IPTER     0.00  1 2025  3 2025  
 229 IPTER    13.33  4 2025  4 2025  
 229 IPTER     0.00  5 2025 12 2025  
 229 GTMIN    27.44  5 2025  7 2025  
 229 GTMIN    27.44  4 2026  6 2026  
 229 GTMIN    27.44  5 2027  7 2027  
 229 GTMIN    27.44  4 2028  6 2028  
 182 POTEF   175.56 11 2024          PALMEIRAS GO
 182 FCMAX    55.44 11 2024 11 2024  
 182 TEIFT     0.00 11 2024 11 2024  
 182 FCMAX    80.00 12 2024 12 2025  
 182 FCMAX     0.00  1 2026          
 248 POTEF    15.95 11 2024 12 2025  PAULINIA VER
 248 TEIFT     0.00 11 2024 11 2024  
 248 GTMIN    15.70 11 2024 11 2024  
 248 GTMIN    15.68 12 2024 12 2024  
 248 GTMIN    15.58  1 2025 12 2025  
  50 POTEF   200.00 11 2024          PIRAT.12 G
  50 FCMAX     0.00 11 2024          
 249 POTEF   115.92 11 2024  5 2026  PORSUD I
 249 TEIFT     0.00 11 2024 11 2024  
 249 IPTER     0.00  1 2025  9 2025  
 249 IPTER     2.15 10 2025 10 2025  
 249 IPTER     1.11 11 2025 11 2025  
 249 IPTER     0.00 12 2025 12 2025  
 250 POTEF    78.32 11 2024  5 2026  PORSUD II
 250 FCMAX    99.59 11 2024 11 2024  
 250 TEIFT     0.00 11 2024 11 2024  
 250 FCMAX    99.14 12 2024  5 2026  
 250 IPTER     0.00  1 2025  9 2025  
 250 IPTER     3.23 10 2025 10 2025  
 250 IPTER     0.00 11 2025 12 2025  
 251 POTEF    74.96 11 2024  1 2026  POVOACAO 1
 251 TEIFT     0.00 11 2024 11 2024  
 251 FCMAX    31.88  1 2026  1 2026  
